viral,Preys,ATP2A2,ENO3,ACTB,TPM2,TPM4,CALM3,TPM1,CALM2,MYL9,MYL6,TNNC1,CKM,MYL7,MYH11,MYLK,MYL4,TNNI1,TPM3,MYH6,TNNI3,CAPZB,ACTC1,MYOM2,TMOD1,TTN,MYH8,MYO1G,TRIM63,TNNT3,NEB,MYL3,OBSCN,MYH2,MYO7A,MYO3A,MYH7,MYH15,MYO3B,MYO15A,MYLK2,MYO7B,MYO1A,MYH4,MYH1,MYH13,MYO1F
nsp6,4,0.5506132702822522,0.6091407902400148,0.5809620332111951,0.6032505137306183,0.5809620332111951,0.589079267208158,0.5926279374925444,0.5809620332111951,0.6133910303144329,0.589079267208158,1.0,0.6619519094766619,1.0,0.6091407902400148,0.5809620332111951,0.6973740852346104,1.0,0.5506132702822522,1.0,0.6911121344692608,0.9236355152451917,1.0,1.0,0.9418245292737366,1.0,0.6190724335591454,0.5809620332111951,1.0,1.0,1.0,1.0,0.5465346534653465,0.6818155082835017,0.5918356541536506,0.6133910303144329,1.0,0.6091407902400148,0.6133910303144329,1.0,0.6619519094766619,0.589079267208158,0.5926279374925444,1.0,0.6748369958947114,1.0,1.0
nsp7,32,0.5465346534653465,0.6133910303144329,0.5465346534653465,0.8028315570410546,0.7946384299173053,0.5506132702822522,0.8526445864925477,0.5465346534653465,0.6133910303144329,0.5809620332111951,1.0,0.6133910303144329,1.0,0.6597118939361747,0.589079267208158,0.7524406286782525,1.0,0.9321363623242791,1.0,0.613048401614355,0.8862724110248862,1.0,1.0,1.0,1.0,0.7285493360826208,0.5465346534653465,1.0,1.0,0.773792685390988,1.0,0.6091407902400148,0.5926279374925444,0.6091407902400148,1.0,1.0,0.5809620332111951,0.5809620332111951,0.7946384299173053,0.6973740852346104,0.5926279374925444,0.6597118939361747,1.0,1.0,1.0,1.0
nsp8,24,0.962072025125699,0.6133910303144329,0.6133910303144329,0.5926279374925444,1.0,1.0,0.8743727625410046,1.0,0.6032505137306183,0.6443858359635091,1.0,0.9830725007984669,1.0,0.6973740852346104,1.0,1.0,1.0,1.0,1.0,1.0,0.6911121344692608,0.5918356541536506,1.0,1.0,1.0,0.613048401614355,0.6133910303144329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.962072025125699,1.0,1.0,0.6133910303144329,1.0,1.0,1.0,0.9236355152451917,1.0,1.0
nsp9,16,1.0,0.7413103012428902,0.8596707695085617,1.0,0.773792685390988,0.6973740852346104,0.613048401614355,0.6133910303144329,0.9321363623242791,0.9712745604602775,1.0,0.6133910303144329,1.0,0.5926279374925444,0.7413103012428902,0.613048401614355,1.0,0.6133910303144329,1.0,0.9513461374790774,0.712871287128713,0.6133910303144329,1.0,0.9712745604602775,0.6190724335591454,1.0,0.8862724110248862,1.0,1.0,1.0,1.0,0.5809620332111951,1.0,0.6133910303144329,1.0,1.0,1.0,1.0,0.7072503168684215,0.5926279374925444,1.0,0.5506132702822522,1.0,1.0,1.0,1.0
orf10,9,0.5918356541536506,0.5926279374925444,0.5465346534653465,0.8028315570410546,0.613048401614355,0.6818155082835017,0.6911121344692608,0.6818155082835017,0.7946384299173053,0.5809620332111951,1.0,0.5506132702822522,1.0,1.0,0.7913930006862072,0.9418245292737366,1.0,1.0,0.589079267208158,1.0,0.6190724335591454,1.0,1.0,1.0,0.6748369958947114,0.6091407902400148,0.6091407902400148,1.0,1.0,0.6619519094766619,1.0,0.6619519094766619,1.0,0.6748369958947114,1.0,1.0,1.0,1.0,1.0,0.5918356541536506,1.0,0.6133910303144329,0.5926279374925444,1.0,1.0,1.0
orf3a,8,0.5926279374925444,0.962072025125699,0.6443858359635091,1.0,1.0,0.6091407902400148,1.0,0.6032505137306183,0.589079267208158,1.0,0.613048401614355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5465346534653465,1.0,0.6133910303144329,0.7072503168684215,1.0,0.5506132702822522,1.0,0.7880052760756681,1.0,1.0,1.0,1.0,0.5809620332111951,0.6133910303144329,0.6091407902400148,1.0,1.0,0.5809620332111951,1.0,1.0,1.0,0.7632639125981563,0.9321363623242791,1.0,1.0,1.0,1.0
orf3b,1,0.5465346534653465,0.5506132702822522,0.5465346534653465,0.5926279374925444,0.5809620332111951,0.589079267208158,0.5465346534653465,0.589079267208158,0.6091407902400148,0.5809620332111951,1.0,0.8526445864925477,1.0,0.5809620332111951,0.6091407902400148,0.5918356541536506,1.0,0.589079267208158,1.0,0.7946384299173053,0.5926279374925444,0.6597118939361747,1.0,1.0,1.0,0.6091407902400148,0.5809620332111951,1.0,1.0,1.0,1.0,0.7632639125981563,0.6091407902400148,0.5506132702822522,1.0,1.0,0.613048401614355,0.5926279374925444,0.6091407902400148,0.5926279374925444,0.589079267208158,0.6818155082835017,0.6133910303144329,0.6133910303144329,1.0,1.0
orf6,3,0.5809620332111951,0.5809620332111951,0.6133910303144329,0.6619519094766619,0.589079267208158,0.6190724335591454,0.589079267208158,0.6133910303144329,0.6911121344692608,0.6133910303144329,1.0,0.5465346534653465,1.0,0.6443858359635091,0.6818155082835017,0.613048401614355,1.0,0.5465346534653465,1.0,1.0,0.6973740852346104,0.613048401614355,1.0,0.5809620332111951,1.0,0.6911121344692608,0.6091407902400148,1.0,1.0,0.8159166627563229,0.8596707695085617,0.8526445864925477,0.589079267208158,0.5926279374925444,0.6091407902400148,1.0,0.6133910303144329,0.589079267208158,1.0,0.589079267208158,0.6299146618448036,0.6091407902400148,1.0,1.0,1.0,1.0
orf7a,2,0.5465346534653465,0.8427870824465625,0.6091407902400148,0.7413103012428902,0.5809620332111951,0.6133910303144329,1.0,0.6973740852346104,0.6619519094766619,0.6911121344692608,1.0,0.6443858359635091,1.0,1.0,0.6619519094766619,0.5926279374925444,1.0,0.8028315570410546,1.0,1.0,0.7946384299173053,0.8862724110248862,1.0,1.0,1.0,0.8159166627563229,0.5926279374925444,1.0,1.0,1.0,1.0,0.9236355152451917,0.7913930006862072,0.6133910303144329,1.0,1.0,0.6091407902400148,0.6133910303144329,0.6133910303144329,0.5809620332111951,0.6133910303144329,0.7072503168684215,0.827499651373588,0.8427870824465625,1.0,1.0
orf8,47,0.7413103012428902,0.5926279374925444,0.5926279374925444,1.0,1.0,0.8526445864925477,0.9236355152451917,0.8159166627563229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8427870824465625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6973740852346104,1.0,1.0,0.827499651373588,1.0,1.0,0.9712745604602775,0.589079267208158,1.0,1.0,0.5809620332111951,0.6190724335591454,1.0,1.0,0.5809620332111951,1.0,1.0,1.0,1.0,0.5465346534653465
orf9b,11,0.6133910303144329,0.5809620332111951,0.6299146618448036,0.7524406286782525,0.6032505137306183,0.6133910303144329,0.6091407902400148,0.6091407902400148,0.5809620332111951,0.613048401614355,0.5465346534653465,0.5506132702822522,1.0,0.5926279374925444,0.5926279374925444,0.6748369958947114,1.0,0.6133910303144329,1.0,0.5465346534653465,0.5465346534653465,0.7632639125981563,1.0,0.8159166627563229,1.0,0.9321363623242791,0.6091407902400148,1.0,1.0,0.613048401614355,0.712871287128713,0.712871287128713,0.5809620332111951,0.6032505137306183,1.0,1.0,0.5926279374925444,0.6133910303144329,0.8526445864925477,0.6032505137306183,0.6032505137306183,0.5926279374925444,0.5926279374925444,0.8596707695085617,1.0,0.6133910303144329
orf9c,26,0.5506132702822522,1.0,0.5809620332111951,1.0,1.0,0.9513461374790774,1.0,0.7880052760756681,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5465346534653465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6619519094766619,1.0,1.0,1.0,1.0,1.0,0.7072503168684215,1.0,1.0,1.0,0.5465346534653465,0.712871287128713,1.0,1.0,0.5926279374925444,1.0,1.0,1.0,1.0,1.0
